timestamp,dp_id,dp_name,packet_ins_per_sec,flow_msgs_sent_per_sec,vlan_hosts_learned_rate,of_errors_per_sec,dp_disconnections_per_sec,flow_table_full_per_sec
2025-07-04T10:53:47.271709,0x1,sw1,0,0,2.0,0,0,0
2025-07-04T10:53:47.271709,0x2,sw2,0,0,0.0,0,0,0
2025-07-04T10:53:48.284510,0x1,sw1,0,0,0.0,0,0,0
2025-07-04T10:53:48.284510,0x2,sw2,0,0,0.0,0,0,0
2025-07-04T10:53:49.296670,0x1,sw1,0,0,0.0,0,0,0
2025-07-04T10:53:49.296670,0x2,sw2,0,0,0.0,0,0,0
2025-07-04T10:53:50.307175,0x1,sw1,0,0,0.0,0,0,0
2025-07-04T10:53:50.307175,0x2,sw2,0,0,0.0,0,0,0
2025-07-04T10:53:51.319971,0x1,sw1,0,0,0.0,0,0,0
2025-07-04T10:53:51.319971,0x2,sw2,0,0,0.0,0,0,0
2025-07-04T10:53:52.334087,0x1,sw1,0,0,0.0,0,0,0
2025-07-04T10:53:52.334087,0x2,sw2,0,0,0.0,0,0,0
2025-07-04T10:53:53.345477,0x1,sw1,0,0,0.0,0,0,0
2025-07-04T10:53:53.345477,0x2,sw2,0,0,0.0,0,0,0
2025-07-04T10:53:54.362919,0x1,sw1,0,0,0.0,0,0,0
2025-07-04T10:53:54.362919,0x2,sw2,0,0,0.0,0,0,0
2025-07-04T10:53:55.379913,0x1,sw1,0,0,0.0,0,0,0
2025-07-04T10:53:55.379913,0x2,sw2,0,0,0.0,0,0,0
2025-07-04T10:53:56.399208,0x1,sw1,0,0,0.0,0,0,0
2025-07-04T10:53:56.399208,0x2,sw2,0,0,0.0,0,0,0
2025-07-04T10:53:57.413259,0x1,sw1,0,0,0.0,0,0,0
2025-07-04T10:53:57.413259,0x2,sw2,0,0,0.0,0,0,0
2025-07-04T10:53:58.427110,0x1,sw1,0,0,0.0,0,0,0
2025-07-04T10:53:58.427110,0x2,sw2,0,0,0.0,0,0,0
2025-07-04T10:53:59.446209,0x1,sw1,0,0,0.0,0,0,0
2025-07-04T10:53:59.446209,0x2,sw2,0,0,0.0,0,0,0
2025-07-04T10:54:00.487083,0x1,sw1,0,0,0.0,0,0,0
2025-07-04T10:54:00.487083,0x2,sw2,0,0,0.0,0,0,0
2025-07-04T10:54:01.507791,0x1,sw1,0,0,0.0,0,0,0
2025-07-04T10:54:01.507791,0x2,sw2,0,0,0.0,0,0,0
2025-07-04T10:54:02.522478,0x1,sw1,0,0,0.0,0,0,0
2025-07-04T10:54:02.522478,0x2,sw2,0,0,0.0,0,0,0
2025-07-04T10:54:03.535107,0x1,sw1,0,0,0.0,0,0,0
2025-07-04T10:54:03.535107,0x2,sw2,0,0,0.0,0,0,0
2025-07-04T10:54:04.547152,0x1,sw1,0,0,0.0,0,0,0
2025-07-04T10:54:04.547152,0x2,sw2,0,0,0.0,0,0,0
2025-07-04T10:54:05.559518,0x1,sw1,0,0,0.0,0,0,0
2025-07-04T10:54:05.559518,0x2,sw2,0,0,0.0,0,0,0
2025-07-04T10:54:06.581192,0x1,sw1,0,0,0.0,0,0,0
2025-07-04T10:54:06.581192,0x2,sw2,0,0,0.0,0,0,0
2025-07-04T10:54:07.593060,0x1,sw1,0,0,0.0,0,0,0
2025-07-04T10:54:07.593060,0x2,sw2,0,0,0.0,0,0,0
2025-07-04T10:54:08.609829,0x1,sw1,0,0,0.0,0,0,0
2025-07-04T10:54:08.609829,0x2,sw2,0,0,0.0,0,0,0
2025-07-04T10:54:09.624224,0x1,sw1,0,0,0.0,0,0,0
2025-07-04T10:54:09.624224,0x2,sw2,0,0,0.0,0,0,0
2025-07-04T10:54:10.641304,0x1,sw1,0,0,0.0,0,0,0
2025-07-04T10:54:10.641304,0x2,sw2,0,0,0.0,0,0,0
2025-07-04T10:54:11.656496,0x1,sw1,0,0,0.0,0,0,0
2025-07-04T10:54:11.656496,0x2,sw2,0,0,0.0,0,0,0
2025-07-04T10:54:12.669229,0x1,sw1,0,0,0.0,0,0,0
2025-07-04T10:54:12.669229,0x2,sw2,0,0,0.0,0,0,0
2025-07-04T10:54:13.688438,0x1,sw1,0,0,0.0,0,0,0
2025-07-04T10:54:13.688438,0x2,sw2,0,0,0.0,0,0,0
2025-07-04T10:54:14.711199,0x1,sw1,0,0,0.0,0,0,0
2025-07-04T10:54:14.711199,0x2,sw2,0,0,0.0,0,0,0
2025-07-04T10:54:15.738178,0x1,sw1,0,0,0.0,0,0,0
2025-07-04T10:54:15.738178,0x2,sw2,0,0,0.0,0,0,0
2025-07-04T10:54:16.757214,0x1,sw1,0,0,0.0,0,0,0
2025-07-04T10:54:16.757214,0x2,sw2,0,0,0.0,0,0,0
2025-07-04T10:54:17.821372,0x1,sw1,0,0,0.0,0,0,0
2025-07-04T10:54:17.821372,0x2,sw2,0,0,0.0,0,0,0
2025-07-04T10:54:18.842074,0x1,sw1,0,0,0.0,0,0,0
2025-07-04T10:54:18.842074,0x2,sw2,0,0,0.0,0,0,0
2025-07-04T10:54:19.865827,0x1,sw1,0,0,0.0,0,0,0
2025-07-04T10:54:19.865827,0x2,sw2,0,0,0.0,0,0,0
2025-07-04T10:54:20.877672,0x1,sw1,0,0,0.0,0,0,0
2025-07-04T10:54:20.877672,0x2,sw2,0,0,0.0,0,0,0
2025-07-04T10:54:21.897858,0x1,sw1,0,0,0.0,0,0,0
2025-07-04T10:54:21.897858,0x2,sw2,0,0,0.0,0,0,0
2025-07-04T10:54:22.911661,0x1,sw1,0,0,0.0,0,0,0
2025-07-04T10:54:22.911661,0x2,sw2,0,0,0.0,0,0,0
2025-07-04T10:54:23.931838,0x1,sw1,0,0,0.0,0,0,0
2025-07-04T10:54:23.931838,0x2,sw2,0,0,0.0,0,0,0
2025-07-04T10:54:24.944552,0x1,sw1,0,0,0.0,0,0,0
2025-07-04T10:54:24.944552,0x2,sw2,0,0,0.0,0,0,0
